Time,Control_Zone
1998-01-01,3.6593032
1998-02-01,3.5721443
1998-03-01,3.5660872
1998-04-01,3.6205428
1998-05-01,3.5766978
1998-06-01,3.5494356
1998-07-01,3.6028457
1998-08-01,4.030007
1998-09-01,3.5319526
1998-10-01,3.481675
1998-11-01,3.5617268
1998-12-01,3.662367
1999-01-01,3.41155
1999-02-01,3.4584222
1999-03-01,3.2977438
1999-04-01,3.2663617
1999-05-01,3.7177734
1999-06-01,4.072556
1999-07-01,4.525823
1999-08-01,4.060751
1999-09-01,4.092911
1999-10-01,3.579196
1999-11-01,3.454381
1999-12-01,3.5496287
2000-01-01,3.4612794
2000-02-01,3.3658218
2000-03-01,3.3180556
2000-04-01,3.2601945
2000-05-01,3.3594663
2000-06-01,3.865304
2000-07-01,4.3638964
2000-08-01,4.0272965
2000-09-01,3.7788332
2000-10-01,3.659119
2000-11-01,3.6381583
2000-12-01,3.6872692
2001-01-01,3.331795
2001-02-01,3.2684116
2001-03-01,3.2309067
2001-04-01,3.195879
2001-05-01,3.447821
2001-06-01,3.638698
2001-07-01,4.286084
2001-08-01,4.975756
2001-09-01,4.102033
2001-10-01,3.719692
2001-11-01,3.6417494
2001-12-01,3.7024975
2002-01-01,3.5006273
2002-02-01,3.4511988
2002-03-01,3.4098582
2002-04-01,3.4466517
2002-05-01,3.6047182
2002-06-01,3.9296775
2002-07-01,4.229762
2002-08-01,4.9974656
2002-09-01,4.7250915
2002-10-01,4.121427
2002-11-01,3.6659222
2002-12-01,3.4189703
2003-01-01,3.8094852
2003-02-01,3.5729425
2003-03-01,3.1845596
2003-04-01,3.400481
2003-05-01,3.6516504
2003-06-01,3.7224662
2003-07-01,5.1929564
2003-08-01,4.665054
2003-09-01,4.424585
2003-10-01,3.9788232
2003-11-01,3.754612
2003-12-01,3.54822
2004-01-01,3.5978544
2004-02-01,3.5387535
2004-03-01,3.5197682
2004-04-01,3.4734323
2004-05-01,3.563147
2004-06-01,3.8045936
2004-07-01,4.917329
2004-08-01,5.5439587
2004-09-01,5.0169907
2004-10-01,4.2965746
2004-11-01,3.8844962
2004-12-01,3.5294337
2005-01-01,3.636908
2005-02-01,3.6082826
2005-03-01,3.3606415
2005-04-01,3.3402178
2005-05-01,3.8226998
2005-06-01,3.944797
2005-07-01,4.2656684
2005-08-01,5.2777896
2005-09-01,5.070494
2005-10-01,3.9671187
2005-11-01,3.6537895
2005-12-01,3.6982465
2006-01-01,3.6571631
2006-02-01,3.6082003
2006-03-01,3.475795
2006-04-01,3.3260436
2006-05-01,3.5150266
2006-06-01,3.7714725
2006-07-01,4.845132
2006-08-01,5.4055295
2006-09-01,4.944891
2006-10-01,4.2982674
2006-11-01,3.607523
2006-12-01,3.5821393
2007-01-01,3.5888345
2007-02-01,3.483251
2007-03-01,3.409941
2007-04-01,3.438754
2007-05-01,3.42549
2007-06-01,3.6435041
2007-07-01,4.3613677
2007-08-01,4.829701
2007-09-01,4.5689
2007-10-01,3.909993
2007-11-01,3.9639013
2007-12-01,3.6038525
2008-01-01,3.468516
2008-02-01,3.3673432
2008-03-01,3.2583234
2008-04-01,3.327597
2008-05-01,3.5716255
2008-06-01,3.9375794
2008-07-01,4.8149815
2008-08-01,4.487308
2008-09-01,4.1721354
2008-10-01,3.5059862
2008-11-01,3.6174128
2008-12-01,3.590368
2009-01-01,3.302337
2009-02-01,3.235193
2009-03-01,3.1773877
2009-04-01,3.2063162
2009-05-01,3.305399
2009-06-01,3.6624067
2009-07-01,3.8437843
2009-08-01,4.0801506
2009-09-01,3.9553638
2009-10-01,3.8615086
2009-11-01,3.7363954
2009-12-01,3.5488815
2010-01-01,3.7144172
2010-02-01,3.5741775
2010-03-01,3.478172
2010-04-01,3.2236035
2010-05-01,3.419982
2010-06-01,3.8299344
2010-07-01,4.0741186
2010-08-01,3.8849225
2010-09-01,3.689445
2010-10-01,3.6113424
2010-11-01,3.5710144
2010-12-01,3.4599361
2011-01-01,3.2862923
2011-02-01,3.2890775
2011-03-01,3.21965
2011-04-01,3.3032048
2011-05-01,3.75909
2011-06-01,4.4166145
2011-07-01,4.569348
2011-08-01,6.04827
2011-09-01,5.496776
2011-10-01,4.29034
2011-11-01,3.7429104
2011-12-01,3.7216613
2012-01-01,3.3382268
2012-02-01,3.214734
2012-03-01,3.3945205
2012-04-01,3.1761591
2012-05-01,3.354152
2012-06-01,3.9358935
2012-07-01,4.7898607
2012-08-01,5.054828
2012-09-01,4.107897
2012-10-01,3.7013795
2012-11-01,3.3491237
2012-12-01,3.3118653
2013-01-01,3.4137247
2013-02-01,3.182976
2013-03-01,3.2366898
2013-04-01,3.255404
2013-05-01,3.3735373
2013-06-01,3.644659
2013-07-01,4.2716284
2013-08-01,4.3576946
2013-09-01,4.080996
2013-10-01,3.720095
2013-11-01,3.5526354
2013-12-01,3.5280755
2014-01-01,3.6616333
2014-02-01,3.4493484
2014-03-01,3.257391
2014-04-01,3.2294085
2014-05-01,3.2953398
2014-06-01,3.765337
2014-07-01,4.3405914
2014-08-01,4.7277684
2014-09-01,4.355879
2014-10-01,4.0439487
2014-11-01,3.820496
2014-12-01,3.4357936
2015-01-01,3.6100273
2015-02-01,3.5974329
2015-03-01,3.1965966
2015-04-01,3.1349702
2015-05-01,3.5005543
2015-06-01,3.7821279
2015-07-01,4.6749616
2015-08-01,4.626046
2015-09-01,4.8072214
2015-10-01,4.6538444
2015-11-01,3.8640842
2015-12-01,3.5416186
2016-01-01,3.5820272
2016-02-01,3.496314
2016-03-01,3.274231
2016-04-01,3.3319035
2016-05-01,3.5063083
2016-06-01,3.7605808
2016-07-01,3.8906076
2016-08-01,4.073479
2016-09-01,3.9397733
2016-10-01,3.6556203
2016-11-01,3.4682248
2016-12-01,3.5000575
2017-01-01,3.8232872
2017-02-01,3.4555085
2017-03-01,3.663813
2017-04-01,3.4669144
2017-05-01,3.7033153
2017-06-01,4.0877223
2017-07-01,4.291929
2017-08-01,4.3972363
2017-09-01,4.846443
2017-10-01,3.764152
2017-11-01,3.67375
2017-12-01,3.6981514
2018-01-01,3.7309303
2018-02-01,3.5031924
2018-03-01,3.4920633
2018-04-01,3.2528276
2018-05-01,3.5291178
2018-06-01,4.163289
2018-07-01,4.689985
2018-08-01,4.6217146
2018-09-01,4.2062097
2018-10-01,3.884924
2018-11-01,3.578643
2018-12-01,3.4718301
2019-01-01,3.6258652
2019-02-01,3.4846663
2019-03-01,3.2730672
2019-04-01,3.238713
2019-05-01,3.4674716
2019-06-01,4.1576805
2019-07-01,4.4828186
2019-08-01,4.9439635
2019-09-01,4.6967793
2019-10-01,4.1981378
2019-11-01,3.8481894
2019-12-01,3.5819564
2020-01-01,3.6287105
2020-02-01,3.5603156
2020-03-01,3.298824
2020-04-01,3.3173094
2020-05-01,3.4802098
2020-06-01,3.979255
2020-07-01,4.081757
2020-08-01,4.3549056
2020-09-01,4.274214
2020-10-01,3.897223
2020-11-01,3.7436738
2020-12-01,3.7397335
2021-01-01,3.5497606
2021-02-01,3.4334753
2021-03-01,3.2452912
2021-04-01,3.324825
2021-05-01,3.554261
2021-06-01,3.7103558
2021-07-01,4.0598764
2021-08-01,3.898146
2021-09-01,3.9700406
2021-10-01,3.513294
2021-11-01,3.5959597
2021-12-01,3.6214423
2022-01-01,3.572827
2022-02-01,3.395269
2022-03-01,3.1751897
2022-04-01,3.3011906
2022-05-01,3.636958
2022-06-01,3.7965693
2022-07-01,4.3673787
2022-08-01,4.2744412
2022-09-01,3.8559132
2022-10-01,3.7234356
2022-11-01,3.697901
2022-12-01,3.568064
2023-01-01,3.5863037
2023-02-01,3.5027127
2023-03-01,3.3454583
2023-04-01,3.3892555
2023-05-01,3.3945115
2023-06-01,3.891722
2023-07-01,4.126102
2023-08-01,4.552808
2023-09-01,4.846127
2023-10-01,3.9480228
2023-11-01,3.7214694
2023-12-01,3.4089527
2024-01-01,3.5906603
2024-02-01,3.5589373
2024-03-01,3.4699006
2024-04-01,3.3791385
2024-05-01,3.8208299
2024-06-01,3.8720922
2024-07-01,4.296996
2024-08-01,4.0586667
2024-09-01,3.9374688
2024-10-01,3.6108494
2024-11-01,3.412823
2024-12-01,3.4232311
