Time,Impact_Zone
1998-01-01,4.037556
1998-02-01,3.6964495
1998-03-01,3.6177707
1998-04-01,4.025405
1998-05-01,4.120435
1998-06-01,4.194652
1998-07-01,4.009898
1998-08-01,4.3933477
1998-09-01,3.9810011
1998-10-01,4.0401416
1998-11-01,3.9687314
1998-12-01,3.704441
1999-01-01,4.11993
1999-02-01,3.7694354
1999-03-01,3.8522277
1999-04-01,3.8744192
1999-05-01,3.9129164
1999-06-01,4.057434
1999-07-01,4.5303392
1999-08-01,4.1957283
1999-09-01,4.3032207
1999-10-01,3.9564614
1999-11-01,3.7376847
1999-12-01,3.555249
2000-01-01,4.057323
2000-02-01,4.0698366
2000-03-01,3.6276083
2000-04-01,3.7016249
2000-05-01,3.821205
2000-06-01,5.549504
2000-07-01,4.7579665
2000-08-01,4.443274
2000-09-01,4.22133
2000-10-01,4.300273
2000-11-01,4.569707
2000-12-01,5.2220564
2001-01-01,3.7840266
2001-02-01,3.9121103
2001-03-01,3.7409961
2001-04-01,3.594883
2001-05-01,3.835622
2001-06-01,3.9823802
2001-07-01,4.1470623
2001-08-01,4.521588
2001-09-01,4.279599
2001-10-01,3.977314
2001-11-01,4.000465
2001-12-01,3.8482678
2002-01-01,3.661363
2002-02-01,3.6931064
2002-03-01,3.756059
2002-04-01,4.3254523
2002-05-01,4.0647984
2002-06-01,4.752105
2002-07-01,4.4002523
2002-08-01,4.169565
2002-09-01,4.6878185
2002-10-01,4.580061
2002-11-01,4.0871034
2002-12-01,3.7223303
2003-01-01,4.1864624
2003-02-01,4.2730474
2003-03-01,3.5937984
2003-04-01,3.938448
2003-05-01,4.4822974
2003-06-01,4.3847427
2003-07-01,4.9994535
2003-08-01,4.7508426
2003-09-01,4.4368353
2003-10-01,4.2893705
2003-11-01,4.2206345
2003-12-01,3.9569774
2004-01-01,3.9893339
2004-02-01,4.1703343
2004-03-01,3.943453
2004-04-01,3.689614
2004-05-01,4.1357465
2004-06-01,4.2375627
2004-07-01,4.7659335
2004-08-01,4.6708055
2004-09-01,5.067134
2004-10-01,4.527782
2004-11-01,4.375158
2004-12-01,4.0520635
2005-01-01,4.1426463
2005-02-01,4.097033
2005-03-01,3.8753
2005-04-01,3.685902
2005-05-01,4.4122095
2005-06-01,4.4700665
2005-07-01,4.29097
2005-08-01,5.154193
2005-09-01,4.87826
2005-10-01,4.358881
2005-11-01,3.9972353
2005-12-01,4.116669
2006-01-01,4.3535166
2006-02-01,4.1078467
2006-03-01,3.8680966
2006-04-01,3.9244068
2006-05-01,4.2286167
2006-06-01,4.411564
2006-07-01,4.5286684
2006-08-01,4.8506703
2006-09-01,4.453288
2006-10-01,4.4681563
2006-11-01,3.9959292
2006-12-01,3.9563303
2007-01-01,3.992475
2007-02-01,3.8876781
2007-03-01,4.0769043
2007-04-01,3.8513815
2007-05-01,4.131304
2007-06-01,4.1259146
2007-07-01,4.792885
2007-08-01,4.815949
2007-09-01,4.3329477
2007-10-01,4.2824025
2007-11-01,4.461724
2007-12-01,4.152196
2008-01-01,3.7222385
2008-02-01,4.1229496
2008-03-01,3.9207163
2008-04-01,3.5779736
2008-05-01,4.2678175
2008-06-01,4.713235
2008-07-01,5.0496697
2008-08-01,5.3475275
2008-09-01,4.926041
2008-10-01,4.220997
2008-11-01,4.1787333
2008-12-01,4.5661235
2009-01-01,3.8303201
2009-02-01,3.7352471
2009-03-01,3.9837966
2009-04-01,3.7908769
2009-05-01,4.0460877
2009-06-01,4.225489
2009-07-01,4.563553
2009-08-01,4.379482
2009-09-01,4.267324
2009-10-01,4.395142
2009-11-01,4.204955
2009-12-01,4.059076
2010-01-01,4.36688
2010-02-01,4.232341
2010-03-01,3.8070586
2010-04-01,4.175708
2010-05-01,4.0837064
2010-06-01,4.791834
2010-07-01,5.055066
2010-08-01,4.7521796
2010-09-01,4.6701655
2010-10-01,4.7253795
2010-11-01,4.3397546
2010-12-01,3.804402
2011-01-01,4.0598483
2011-02-01,4.148519
2011-03-01,3.9242587
2011-04-01,3.7152195
2011-05-01,4.052949
2011-06-01,4.983786
2011-07-01,5.4354286
2011-08-01,5.304842
2011-09-01,6.0638194
2011-10-01,4.5181365
2011-11-01,4.1890364
2011-12-01,4.4062505
2012-01-01,4.2467375
2012-02-01,3.85764
2012-03-01,3.7387161
2012-04-01,3.612583
2012-05-01,4.1948457
2012-06-01,4.740504
2012-07-01,5.386139
2012-08-01,4.806812
2012-09-01,4.4832788
2012-10-01,4.3280945
2012-11-01,4.0745854
2012-12-01,3.998921
2013-01-01,4.0146837
2013-02-01,3.9781697
2013-03-01,3.7395663
2013-04-01,4.0312443
2013-05-01,4.503425
2013-06-01,4.5521145
2013-07-01,5.4710913
2013-08-01,4.919061
2013-09-01,4.345723
2013-10-01,4.357964
2013-11-01,4.4121213
2013-12-01,4.179917
2014-01-01,4.43909
2014-02-01,4.298106
2014-03-01,3.783156
2014-04-01,4.1189504
2014-05-01,4.365681
2014-06-01,5.2706327
2014-07-01,4.6862617
2014-08-01,4.666541
2014-09-01,4.118307
2014-10-01,4.283892
2014-11-01,4.5256724
2014-12-01,4.322136
2015-01-01,4.1191173
2015-02-01,4.352636
2015-03-01,3.956309
2015-04-01,3.9899826
2015-05-01,4.424956
2015-06-01,4.923188
2015-07-01,4.707567
2015-08-01,4.437186
2015-09-01,4.5065055
2015-10-01,5.45512
2015-11-01,4.3626995
2015-12-01,4.0666013
2016-01-01,4.3086367
2016-02-01,4.5013385
2016-03-01,4.085386
2016-04-01,3.888162
2016-05-01,4.2408695
2016-06-01,4.4370246
2016-07-01,4.780041
2016-08-01,4.6879315
2016-09-01,4.656544
2016-10-01,4.5511236
2016-11-01,4.184709
2016-12-01,4.193514
2017-01-01,4.3664775
2017-02-01,4.486908
2017-03-01,4.2796507
2017-04-01,4.5916867
2017-05-01,4.6417384
2017-06-01,5.104206
2017-07-01,5.811826
2017-08-01,5.4199257
2017-09-01,5.5733695
2017-10-01,4.494867
2017-11-01,4.4763846
2017-12-01,4.18892
